ONev,KNev,KURL,KLeiras,KSorszam
"Termék 60.","A kép neve",Tkep_58.png,"Mi látható a képen?",1
"Termék 61.","A kép neve",Tkep_59.png,"Mi látható a képen?",1
"Termék 62.","A kép neve",Tkep_60.png,"Mi látható a képen?",1
"Termék 63.","A kép neve",Tkep_61.png,"Mi látható a képen?",1
"Termék 64.","A kép neve",Tkep_62.png,"Mi látható a képen?",1
"Termék 65.","A kép neve",Tkep_63.png,"Mi látható a képen?",1
"Termék 1.","A kép neve",Tkep_55.png,"Mi látható a képen?",2
"Termék 2.","A kép neve",Tkep_56.png,"Mi látható a képen?",2
"Termék 3.","A kép neve",Tkep_57.png,"Mi látható a képen?",2
"Termék 4.","A kép neve",Tkep_58.png,"Mi látható a képen?",2
"Termék 5.","A kép neve",Tkep_59.png,"Mi látható a képen?",2
"Termék 6.","A kép neve",Tkep_60.png,"Mi látható a képen?",2
"Termék 7.","A kép neve",Tkep_61.png,"Mi látható a képen?",2
"Termék 8.","A kép neve",Tkep_62.png,"Mi látható a képen?",2
"Termék 9.","A kép neve",Tkep_63.png,"Mi látható a képen?",2
"Termék 10.","A kép neve",Tkep_64.png,"Mi látható a képen?",2
"Termék 11.","A kép neve",Tkep_1.png,"Mi látható a képen?",2
"Termék 12.","A kép neve",Tkep_63.png,"Mi látható a képen?",2
"Termék 13.","A kép neve",Tkep_64.png,"Mi látható a képen?",2
"Termék 14.","A kép neve",Tkep_57.png,"Mi látható a képen?",2
"Termék 15.","A kép neve",Tkep_58.png,"Mi látható a képen?",2
"Termék 16.","A kép neve",Tkep_59.png,"Mi látható a képen?",2
"Termék 17.","A kép neve",Tkep_60.png,"Mi látható a képen?",2
"Termék 18.","A kép neve",Tkep_61.png,"Mi látható a képen?",2
"Termék 19.","A kép neve",Tkep_62.png,"Mi látható a képen?",2
"Termék 20.","A kép neve",Tkep_63.png,"Mi látható a képen?",2
"Termék 21.","A kép neve",Tkep_64.png,"Mi látható a képen?",2
"Termék 22.","A kép neve",Tkep_54.png,"Mi látható a képen?",2
"Termék 23.","A kép neve",Tkep_55.png,"Mi látható a képen?",2
"Termék 24.","A kép neve",Tkep_56.png,"Mi látható a képen?",2
"Termék 25.","A kép neve",Tkep_57.png,"Mi látható a képen?",2
"Termék 26.","A kép neve",Tkep_58.png,"Mi látható a képen?",2
"Termék 27.","A kép neve",Tkep_59.png,"Mi látható a képen?",2
"Termék 28.","A kép neve",Tkep_60.png,"Mi látható a képen?",2
"Termék 29.","A kép neve",Tkep_61.png,"Mi látható a képen?",2
"Termék 30.","A kép neve",Tkep_62.png,"Mi látható a képen?",2
"Termék 31.","A kép neve",Tkep_63.png,"Mi látható a képen?",2
"Termék 32.","A kép neve",Tkep_64.png,"Mi látható a képen?",2
"Termék 33.","A kép neve",Tkep_54.png,"Mi látható a képen?",2
"Termék 34.","A kép neve",Tkep_55.png,"Mi látható a képen?",2
"Termék 35.","A kép neve",Tkep_56.png,"Mi látható a képen?",2
"Termék 36.","A kép neve",Tkep_57.png,"Mi látható a képen?",2
"Termék 37.","A kép neve",Tkep_58.png,"Mi látható a képen?",2
"Termék 38.","A kép neve",Tkep_59.png,"Mi látható a képen?",2
"Termék 39.","A kép neve",Tkep_60.png,"Mi látható a képen?",2
"Termék 40.","A kép neve",Tkep_61.png,"Mi látható a képen?",2
"Termék 41.","A kép neve",Tkep_62.png,"Mi látható a képen?",2
"Termék 42.","A kép neve",Tkep_63.png,"Mi látható a képen?",2
"Termék 43.","A kép neve",Tkep_64.png,"Mi látható a képen?",2
"Termék 44.","A kép neve",Tkep_4.png,"Mi látható a képen?",2
"Termék 45.","A kép neve",Tkep_55.png,"Mi látható a képen?",2
"Termék 46.","A kép neve",Tkep_56.png,"Mi látható a képen?",2
"Termék 47.","A kép neve",Tkep_60.png,"Mi látható a képen?",2
"Termék 48.","A kép neve",Tkep_61.png,"Mi látható a képen?",2
"Termék 49.","A kép neve",Tkep_62.png,"Mi látható a képen?",2
"Termék 50.","A kép neve",Tkep_63.png,"Mi látható a képen?",2
"Termék 51.","A kép neve",Tkep_64.png,"Mi látható a képen?",2
"Termék 52.","A kép neve",Tkep_1.png,"Mi látható a képen?",2
"Termék 53.","A kép neve",Tkep_3.png,"Mi látható a képen?",2
"Termék 54.","A kép neve",Tkep_64.png,"Mi látható a képen?",2
"Termék 55.","A kép neve",Tkep_49.png,"Mi látható a képen?",2
"Termék 56.","A kép neve",Tkep_50.png,"Mi látható a képen?",2
"Termék 57.","A kép neve",Tkep_51.png,"Mi látható a képen?",2
"Termék 58.","A kép neve",Tkep_52.png,"Mi látható a képen?",2
"Termék 59.","A kép neve",Tkep_53.png,"Mi látható a képen?",2
"Termék 60.","A kép neve",Tkep_54.png,"Mi látható a képen?",2
"Termék 61.","A kép neve",Tkep_55.png,"Mi látható a képen?",2
"Termék 62.","A kép neve",Tkep_56.png,"Mi látható a képen?",2
"Termék 63.","A kép neve",Tkep_57.png,"Mi látható a képen?",2
"Termék 64.","A kép neve",Tkep_58.png,"Mi látható a képen?",2
"Termék 65.","A kép neve",Tkep_59.png,"Mi látható a képen?",2
"Termék 1.","A kép neve",Tkep_63.png,"Mi látható a képen?",3
"Termék 2.","A kép neve",Tkep_64.png,"Mi látható a képen?",3
"Termék 3.","A kép neve",Tkep_49.png,"Mi látható a képen?",3
"Termék 4.","A kép neve",Tkep_50.png,"Mi látható a képen?",3
"Termék 5.","A kép neve",Tkep_51.png,"Mi látható a képen?",3
"Termék 6.","A kép neve",Tkep_52.png,"Mi látható a képen?",3
"Termék 7.","A kép neve",Tkep_63.png,"Mi látható a képen?",3
"Termék 8.","A kép neve",Tkep_63.png,"Mi látható a képen?",3
"Termék 9.","A kép neve",Tkep_1.png,"Mi látható a képen?",3
"Termék 10.","A kép neve",Tkep_3.png,"Mi látható a képen?",3
"Termék 11.","A kép neve",Tkep_4.png,"Mi látható a képen?",3
"Termék 12.","A kép neve",Tkep_54.png,"Mi látható a képen?",3
"Termék 13.","A kép neve",Tkep_55.png,"Mi látható a képen?",3
"Termék 14.","A kép neve",Tkep_56.png,"Mi látható a képen?",3
"Termék 15.","A kép neve",Tkep_57.png,"Mi látható a képen?",3
"Termék 16.","A kép neve",Tkep_58.png,"Mi látható a képen?",3
"Termék 17.","A kép neve",Tkep_59.png,"Mi látható a képen?",3
"Termék 18.","A kép neve",Tkep_60.png,"Mi látható a képen?",3
"Termék 19.","A kép neve",Tkep_61.png,"Mi látható a képen?",3
"Termék 20.","A kép neve",Tkep_62.png,"Mi látható a képen?",3
"Termék 21.","A kép neve",Tkep_63.png,"Mi látható a képen?",3
"Termék 22.","A kép neve",Tkep_64.png,"Mi látható a képen?",3
"Termék 23.","A kép neve",Tkep_54.png,"Mi látható a képen?",3
"Termék 24.","A kép neve",Tkep_55.png,"Mi látható a képen?",3
"Termék 25.","A kép neve",Tkep_56.png,"Mi látható a képen?",3
"Termék 26.","A kép neve",Tkep_57.png,"Mi látható a képen?",3
"Termék 27.","A kép neve",Tkep_58.png,"Mi látható a képen?",3
"Termék 28.","A kép neve",Tkep_59.png,"Mi látható a képen?",3
"Termék 29.","A kép neve",Tkep_60.png,"Mi látható a képen?",3
"Termék 30.","A kép neve",Tkep_61.png,"Mi látható a képen?",3
"Termék 31.","A kép neve",Tkep_62.png,"Mi látható a képen?",3
"Termék 32.","A kép neve",Tkep_63.png,"Mi látható a képen?",3
"Termék 33.","A kép neve",Tkep_64.png,"Mi látható a képen?",3
"Termék 34.","A kép neve",Tkep_54.png,"Mi látható a képen?",3
"Termék 35.","A kép neve",Tkep_55.png,"Mi látható a képen?",3
"Termék 36.","A kép neve",Tkep_56.png,"Mi látható a képen?",3
"Termék 37.","A kép neve",Tkep_57.png,"Mi látható a képen?",3
"Termék 38.","A kép neve",Tkep_58.png,"Mi látható a képen?",3
"Termék 39.","A kép neve",Tkep_59.png,"Mi látható a képen?",3
"Termék 40.","A kép neve",Tkep_60.png,"Mi látható a képen?",3
"Termék 41.","A kép neve",Tkep_61.png,"Mi látható a képen?",3
"Termék 42.","A kép neve",Tkep_62.png,"Mi látható a képen?",3
"Termék 43.","A kép neve",Tkep_63.png,"Mi látható a képen?",3
"Termék 44.","A kép neve",Tkep_64.png,"Mi látható a képen?",3
"Termék 45.","A kép neve",Tkep_54.png,"Mi látható a képen?",3
"Termék 46.","A kép neve",Tkep_55.png,"Mi látható a képen?",3
"Termék 47.","A kép neve",Tkep_59.png,"Mi látható a képen?",3
"Termék 48.","A kép neve",Tkep_60.png,"Mi látható a képen?",3
"Termék 49.","A kép neve",Tkep_61.png,"Mi látható a képen?",3
"Termék 50.","A kép neve",Tkep_62.png,"Mi látható a képen?",3
"Termék 51.","A kép neve",Tkep_63.png,"Mi látható a képen?",3
"Termék 52.","A kép neve",Tkep_64.png,"Mi látható a képen?",3
"Termék 53.","A kép neve",Tkep_62.png,"Mi látható a képen?",3
"Termék 54.","A kép neve",Tkep_63.png,"Mi látható a képen?",3
"Termék 55.","A kép neve",Tkep_64.png,"Mi látható a képen?",3
"Termék 56.","A kép neve",Tkep_49.png,"Mi látható a képen?",3
"Termék 57.","A kép neve",Tkep_50.png,"Mi látható a képen?",3
"Termék 58.","A kép neve",Tkep_51.png,"Mi látható a képen?",3
"Termék 59.","A kép neve",Tkep_52.png,"Mi látható a képen?",3
"Termék 60.","A kép neve",Tkep_53.png,"Mi látható a képen?",3
"Termék 61.","A kép neve",Tkep_54.png,"Mi látható a képen?",3
"Termék 62.","A kép neve",Tkep_55.png,"Mi látható a képen?",3
"Termék 63.","A kép neve",Tkep_56.png,"Mi látható a képen?",3
"Termék 64.","A kép neve",Tkep_57.png,"Mi látható a képen?",3
"Termék 65.","A kép neve",Tkep_58.png,"Mi látható a képen?",3
"Termék 1.","A kép neve",Tkep_61.png,"Mi látható a képen?",4
"Termék 2.","A kép neve",Tkep_62.png,"Mi látható a képen?",4
"Termék 3.","A kép neve",Tkep_63.png,"Mi látható a képen?",4
"Termék 4.","A kép neve",Tkep_64.png,"Mi látható a képen?",4
"Termék 5.","A kép neve",Tkep_54.png,"Mi látható a képen?",4
"Termék 6.","A kép neve",Tkep_55.png,"Mi látható a képen?",4
"Termék 7.","A kép neve",Tkep_56.png,"Mi látható a képen?",4
"Termék 8.","A kép neve",Tkep_57.png,"Mi látható a képen?",4
"Termék 9.","A kép neve",Tkep_58.png,"Mi látható a képen?",4
"Termék 10.","A kép neve",Tkep_59.png,"Mi látható a képen?",4
"Termék 11.","A kép neve",Tkep_60.png,"Mi látható a képen?",4
"Termék 12.","A kép neve",Tkep_61.png,"Mi látható a képen?",4
"Termék 13.","A kép neve",Tkep_62.png,"Mi látható a képen?",4
"Termék 14.","A kép neve",Tkep_63.png,"Mi látható a képen?",4
"Termék 15.","A kép neve",Tkep_64.png,"Mi látható a képen?",4
"Termék 16.","A kép neve",Tkep_54.png,"Mi látható a képen?",4
"Termék 17.","A kép neve",Tkep_55.png,"Mi látható a képen?",4
"Termék 18.","A kép neve",Tkep_56.png,"Mi látható a képen?",4
"Termék 19.","A kép neve",Tkep_57.png,"Mi látható a képen?",4
"Termék 20.","A kép neve",Tkep_58.png,"Mi látható a képen?",4
"Termék 21.","A kép neve",Tkep_59.png,"Mi látható a képen?",4
"Termék 22.","A kép neve",Tkep_60.png,"Mi látható a képen?",4
"Termék 23.","A kép neve",Tkep_61.png,"Mi látható a képen?",4
"Termék 24.","A kép neve",Tkep_62.png,"Mi látható a képen?",4
"Termék 25.","A kép neve",Tkep_63.png,"Mi látható a képen?",4
"Termék 26.","A kép neve",Tkep_64.png,"Mi látható a képen?",4
"Termék 27.","A kép neve",Tkep_54.png,"Mi látható a képen?",4
"Termék 28.","A kép neve",Tkep_55.png,"Mi látható a képen?",4
"Termék 29.","A kép neve",Tkep_56.png,"Mi látható a képen?",4
"Termék 30.","A kép neve",Tkep_57.png,"Mi látható a képen?",4
"Termék 31.","A kép neve",Tkep_58.png,"Mi látható a képen?",4
"Termék 32.","A kép neve",Tkep_59.png,"Mi látható a képen?",4
"Termék 33.","A kép neve",Tkep_60.png,"Mi látható a képen?",4
"Termék 34.","A kép neve",Tkep_61.png,"Mi látható a képen?",4
"Termék 35.","A kép neve",Tkep_62.png,"Mi látható a képen?",4
"Termék 36.","A kép neve",Tkep_63.png,"Mi látható a képen?",4
"Termék 37.","A kép neve",Tkep_64.png,"Mi látható a képen?",4
"Termék 38.","A kép neve",Tkep_49.png,"Mi látható a képen?",4
"Termék 39.","A kép neve",Tkep_50.png,"Mi látható a képen?",4
"Termék 40.","A kép neve",Tkep_51.png,"Mi látható a képen?",4
"Termék 41.","A kép neve",Tkep_52.png,"Mi látható a képen?",4
"Termék 42.","A kép neve",Tkep_53.png,"Mi látható a képen?",4
"Termék 43.","A kép neve",Tkep_54.png,"Mi látható a képen?",4
"Termék 44.","A kép neve",Tkep_55.png,"Mi látható a képen?",4
"Termék 45.","A kép neve",Tkep_56.png,"Mi látható a képen?",4
"Termék 46.","A kép neve",Tkep_57.png,"Mi látható a képen?",4
"Termék 47.","A kép neve",Tkep_58.png,"Mi látható a képen?",4
"Termék 48.","A kép neve",Tkep_59.png,"Mi látható a képen?",4
"Termék 49.","A kép neve",Tkep_60.png,"Mi látható a képen?",4
"Termék 50.","A kép neve",Tkep_61.png,"Mi látható a képen?",4
"Termék 51.","A kép neve",Tkep_62.png,"Mi látható a képen?",4
"Termék 52.","A kép neve",Tkep_63.png,"Mi látható a képen?",4
"Termék 53.","A kép neve",Tkep_64.png,"Mi látható a képen?",4
"Termék 54.","A kép neve",Tkep_4.png,"Mi látható a képen?",4
"Termék 55.","A kép neve",Tkep_63.png,"Mi látható a képen?",4
"Termék 56.","A kép neve",Tkep_64.png,"Mi látható a képen?",4
"Termék 57.","A kép neve",Tkep_49.png,"Mi látható a képen?",4
"Termék 58.","A kép neve",Tkep_50.png,"Mi látható a képen?",4
"Termék 59.","A kép neve",Tkep_55.png,"Mi látható a képen?",4
"Termék 60.","A kép neve",Tkep_56.png,"Mi látható a képen?",4
"Termék 61.","A kép neve",Tkep_57.png,"Mi látható a képen?",4
"Termék 62.","A kép neve",Tkep_58.png,"Mi látható a képen?",4
"Termék 63.","A kép neve",Tkep_59.png,"Mi látható a képen?",4
"Termék 64.","A kép neve",Tkep_60.png,"Mi látható a képen?",4
"Termék 65.","A kép neve",Tkep_61.png,"Mi látható a képen?",4
"Ingyen webáruház - W3 Free Shop",Kosár,kosar480W3.png,"  ",1
"Ingyen webáruház - W3 Free Shop",,gnu480.png,"  ",2
"Ingyen webáruház - W3 Free Shop",,kezdolap3.png,"    ",3
"Ingyen webáruház - W3 Free Shop",,kezdolap4.png,"    ",4
"Ingyen webáruház - W3 Free Shop",,kezdolap5.png,"    ",5
"Általános jellemzők","GNU ",gnu100.png,"    A General Public License logója.",1
"Általános jellemzők","Szerkesztő panel",szerkesztes.jpg,"    A W3FreeShop szerkesztő panelének képe.",2
"Webáruház telepítése",Telepítő,telepit_1.jpg,"      Webáruház telepítő",1
"Webáruház menü",Menü,menu_2.jpg,"  ",1
"Webáruház letöltése","W3 Free Shop projekt ",googlecode.jpg,"    A W3 Free Shop projekt oldalának képe.",1
"A megrendelés menete","A kosár tartalma",kosartartalom_1.jpg,"  A kosár termékeit felsoroló tábéázat.",1
"A megrendelés menete",Megrendelés,megrendel.jpg,"  A megrendelés űrlap képe.",2
"Beállítások tömeges feltöltése","Feltöltés úrlapok",tomeges.jpg,"  Az adatok feltöltésére szolgáló űrlapok.",1
"Webáruház adminisztráció","Szerkesztés űrlap",szerkesztes.jpg,"  A szerkesztés űrlap képe.",1
"Navigáció a webáruházban",Navigáció,navigacio.jpg,"  Navigációs ikonok képe.",1
"A webáruház kipróbálása","Webáruház - W3FreeShop",kezdolap4.png,"  A webáruház képe.",1
"A webáruház funkciói","Navigáció termékek között ",navigacio_2.jpg,"  Navigáció termékek között ",1
